"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.76603,3.3069,1.251e-21,-0.083436,1,19.142,23.932,-17.956,0
0.76926,3.3047,9.6166e-21,-0.076111,1,19.211,23.939,-17.887,0
0.77271,3.3037,1.7676e-20,-0.068987,1,19.28,23.946,-17.818,0
0.77682,3.3047,2.5091e-20,-0.062183,1,19.35,23.953,-17.749,0
0.78158,3.3078,3.1858e-20,-0.055698,1,19.419,23.96,-17.68,0
0.78702,3.3129,3.7977e-20,-0.049534,1,19.489,23.967,-17.611,0
0.79311,3.3201,4.3444e-20,-0.043693,1,19.558,23.974,-17.542,0
0.79447,3.3131,4.1103e-20,-0.036718,1,19.627,23.981,-17.473,0
0.79585,3.306,3.8388e-20,-0.029976,1,19.697,23.988,-17.404,0
0.79752,3.2998,3.5675e-20,-0.023542,1,19.766,23.995,-17.335,0
0.79946,3.2944,3.2963e-20,-0.017417,1,19.835,24.002,-17.266,0
0.80062,3.2877,2.9545e-20,-0.011806,1,19.905,24.009,-17.197,0
0.80124,3.2802,2.6121e-20,-0.006659,1,19.974,24.016,-17.128,0
0.80218,3.2736,2.342e-20,-0.0018098,1,20.043,24.023,-17.059,0
0.80345,3.2679,2.1446e-20,0.0027406,1,20.113,24.03,-16.99,0
0.80505,3.2632,2.0201e-20,0.0069913,1,20.182,24.037,-16.921,0
0.80698,3.2595,1.9687e-20,0.010941,1,20.251,24.044,-16.852,0
0.80924,3.2567,1.9907e-20,0.014589,1,20.321,24.051,-16.783,0
0.81183,3.2548,2.0864e-20,0.017934,1,20.39,24.058,-16.714,0
0.81475,3.2539,2.2559e-20,0.020975,1,20.459,24.065,-16.645,0
0.81801,3.254,2.4997e-20,0.023711,1,20.529,24.072,-16.576,0
0.82161,3.255,2.8178e-20,0.026141,1,20.598,24.079,-16.507,0
0.82437,3.2546,2.8333e-20,0.027987,1,20.668,24.086,-16.438,0
0.82724,3.2547,2.7562e-20,0.029537,1,20.737,24.093,-16.369,0
0.83052,3.256,2.6647e-20,0.030863,1,20.806,24.1,-16.3,0
0.83419,3.2583,2.5586e-20,0.031963,1,20.876,24.107,-16.231,0
0.83825,3.2619,2.4379e-20,0.032836,1,20.945,24.114,-16.162,0
0.84271,3.2665,2.3025e-20,0.033482,1,21.014,24.121,-16.093,0
0.84758,3.2723,2.1524e-20,0.0339,1,21.084,24.128,-16.024,0
0.85195,3.2763,1.965e-20,0.034042,1,21.153,24.135,-15.955,0
0.85245,3.2677,1.6875e-20,0.033851,1,21.222,24.142,-15.886,0
0.85307,3.2599,1.446e-20,0.03363,1,21.292,24.149,-15.817,0
0.85383,3.2528,1.2405e-20,0.033378,1,21.361,24.156,-15.748,0
0.85403,3.2452,1.0056e-20,0.033437,1,21.43,24.163,-15.679,0
0.85393,3.2373,7.631e-21,0.033681,1,21.5,24.17,-15.61,0
0.85398,3.2301,5.5828e-21,0.033873,1,21.569,24.177,-15.541,0
0.85419,3.2234,3.9127e-21,0.034011,1,21.638,24.184,-15.472,0
0.85455,3.2174,2.6218e-21,0.034096,1,21.708,24.191,-15.403,0
0.85508,3.212,1.7116e-21,0.034128,1,21.777,24.198,-15.334,0
0.85577,3.2073,1.1832e-21,0.034106,1,21.847,24.205,-15.265,0
0.85661,3.2031,1.0378e-21,0.03403,1,21.916,24.212,-15.196,0
0.85762,3.1996,1.2767e-21,0.033901,1,21.985,24.219,-15.127,0
0.85879,3.1968,1.9012e-21,0.033717,1,22.055,24.226,-15.058,0
0.86012,3.1945,2.9125e-21,0.033479,1,22.124,24.233,-14.989,0
0.86162,3.1929,4.3119e-21,0.033187,1,22.193,24.24,-14.92,0
0.86252,3.1901,6.6487e-21,0.033285,1,22.263,24.247,-14.851,0
0.86348,3.1876,9.1342e-21,0.033354,1,22.332,24.254,-14.782,0
0.86461,3.1856,1.1668e-20,0.033327,1,22.401,24.261,-14.713,0
0.86592,3.1842,1.425e-20,0.033204,1,22.471,24.268,-14.644,0
0.8674,3.1834,1.688e-20,0.032984,1,22.54,24.275,-14.575,0
0.86906,3.1831,1.9558e-20,0.032668,1,22.609,24.282,-14.506,0
0.87089,3.1835,2.2286e-20,0.032253,1,22.679,24.289,-14.437,0
0.8729,3.1844,2.5062e-20,0.031742,1,22.748,24.296,-14.368,0
0.87509,3.1859,2.7887e-20,0.031132,1,22.818,24.303,-14.299,0
0.87745,3.188,3.0761e-20,0.030424,1,22.887,24.31,-14.23,0
0.87999,3.1906,3.3685e-20,0.029618,1,22.956,24.317,-14.161,0
0.88271,3.1939,3.6658e-20,0.028713,1,23.026,24.324,-14.092,0
