"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0495,2.5596,-2.9028e-20,0.30759,1,22.954,57.268,17.342,0
1.0467,2.5567,-2.5921e-20,0.31212,1,23.025,57.275,17.413,0
1.0439,2.5538,-2.2814e-20,0.31665,1,23.096,57.282,17.483,0
1.0411,2.5509,-1.9707e-20,0.32118,1,23.167,57.289,17.553,0
1.0383,2.548,-1.6599e-20,0.32571,1,23.238,57.296,17.624,0
1.0355,2.5451,-1.3492e-20,0.33025,1,23.309,57.303,17.694,0
1.0327,2.5422,-1.0385e-20,0.33478,1,23.379,57.31,17.765,0
1.03,2.5393,-7.2783e-21,0.33931,1,23.45,57.317,17.836,0
1.0272,2.5364,-4.1713e-21,0.34384,1,23.521,57.324,17.906,0
1.0244,2.5335,-1.0643e-21,0.34837,1,23.592,57.331,17.976,0
1.0216,2.5306,2.0428e-21,0.3529,1,23.663,57.338,18.047,0
1.0188,2.5277,5.1498e-21,0.35743,1,23.734,57.345,18.118,0
1.016,2.5248,8.2569e-21,0.36196,1,23.804,57.352,18.188,0
1.0129,2.5213,4.6316e-21,0.36564,1,23.875,57.359,18.258,0
1.0094,2.5173,-4.7276e-21,0.36859,1,23.946,57.366,18.329,0
1.006,2.5133,-1.4087e-20,0.37155,1,24.017,57.373,18.399,0
1.0026,2.5092,-2.3446e-20,0.3745,1,24.088,57.38,18.47,0
